ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
2429,C,Ship,4,5,192,3,medium,F,41,3873,Yes
2430,F,Ship,3,2,143,3,low,F,58,1785,Yes
2431,D,Ship,3,5,113,2,low,F,19,1660,Yes
2432,F,Ship,4,1,135,3,medium,M,39,1549,Yes
2433,A,Ship,4,4,189,4,high,F,56,2646,Yes
2434,B,Ship,3,2,245,3,medium,M,13,3775,Yes
2435,C,Ship,3,5,181,2,low,M,29,2217,Yes
2436,F,Ship,3,2,207,2,medium,F,37,2460,Yes
2437,D,Ship,3,1,169,2,medium,F,19,1183,Yes
2438,F,Ship,4,5,206,3,low,F,65,2598,Yes
2439,A,Ship,2,5,117,3,low,M,44,1192,Yes
2440,B,Road,2,1,115,3,high,M,42,1247,Yes
2441,C,Road,3,3,149,3,low,F,63,1196,Yes
2442,F,Road,4,5,133,3,medium,M,3,1403,Yes
2443,D,Road,4,3,271,2,medium,M,22,2595,Yes
2444,F,Road,2,5,116,3,low,F,3,1688,Yes
2445,A,Road,3,5,139,2,medium,M,64,1857,Yes
2446,B,Road,4,3,216,3,medium,M,35,2567,Yes
2447,C,Road,3,5,165,2,high,F,37,1234,Yes
2448,F,Road,6,5,286,4,low,F,31,3774,Yes
2449,D,Road,5,3,136,3,medium,F,13,1446,Yes
2450,F,Road,4,5,225,4,low,M,48,2767,Yes
2451,A,Road,4,2,163,3,low,F,27,1639,Yes
2452,B,Road,4,3,272,4,low,M,61,2857,Yes
2453,C,Road,4,3,135,2,high,M,24,1292,Yes
2454,F,Road,4,5,184,3,low,F,64,3812,Yes
2455,D,Road,4,5,219,2,medium,F,28,2164,Yes
2456,F,Road,3,3,249,2,medium,M,53,2323,Yes
2457,A,Road,2,3,142,3,low,F,46,1694,Yes
2458,B,Road,5,2,137,3,medium,M,47,1023,Yes
2459,C,Road,2,5,168,3,low,M,37,1717,Yes
2460,F,Road,5,5,165,3,medium,F,32,1798,Yes
2461,D,Road,3,3,199,2,low,M,4,3553,Yes
2462,F,Flight,3,3,246,3,low,M,27,3648,Yes
2463,A,Flight,5,2,224,4,medium,M,43,2336,Yes
2464,B,Flight,5,5,216,6,low,M,54,2075,Yes
2465,C,Flight,5,3,167,2,low,M,3,1140,Yes
2466,F,Flight,4,2,182,3,medium,M,14,3413,Yes
2467,D,Flight,6,1,126,3,medium,F,37,1697,Yes
2468,F,Flight,5,1,170,3,medium,F,48,1299,Yes
2469,A,Flight,4,2,148,3,medium,M,2,1805,Yes
2470,B,Flight,4,2,141,3,medium,M,61,1875,Yes
2471,C,Flight,5,5,169,2,medium,F,14,1497,Yes
2472,F,Flight,5,2,143,3,medium,M,12,1802,Yes
2473,D,Flight,4,5,156,3,low,F,60,1553,Yes
2474,F,Flight,5,1,241,4,medium,F,19,2193,Yes
2475,A,Flight,3,4,212,3,medium,F,13,2307,Yes
2476,B,Flight,5,3,265,3,medium,M,30,2293,Yes
2477,C,Flight,3,4,243,3,low,F,60,2980,Yes
2478,F,Flight,5,2,209,4,medium,M,15,3330,Yes
2479,D,Flight,4,5,229,3,medium,M,21,2688,Yes
2480,F,Flight,3,1,257,2,low,F,45,3496,Yes
2481,A,Flight,5,5,209,3,low,M,49,3893,Yes
2482,B,Flight,3,3,142,3,medium,M,23,1897,Yes
2483,C,Flight,3,5,208,4,medium,M,12,3181,Yes
2484,F,Ship,6,3,167,6,low,F,15,1278,Yes
2485,D,Ship,3,5,266,3,medium,M,16,2334,Yes
2486,F,Ship,5,3,210,2,medium,M,44,3382,Yes
2487,A,Ship,2,2,147,2,medium,F,49,1447,Yes
2488,B,Ship,5,2,132,2,medium,M,8,1665,Yes
2489,C,Ship,3,4,269,3,medium,F,21,3716,Yes
2490,F,Ship,5,3,148,3,medium,F,48,1099,Yes
2491,D,Ship,4,5,268,2,high,M,32,3675,Yes
2492,F,Ship,3,5,156,2,low,F,43,1301,Yes
2493,A,Ship,5,1,222,4,low,M,63,3506,Yes
2494,B,Ship,4,5,151,3,high,F,31,1365,Yes
2495,C,Ship,3,3,236,3,low,F,28,3652,Yes
2496,F,Ship,3,5,229,3,medium,F,12,3049,Yes
2497,D,Ship,4,3,261,3,low,M,42,2664,Yes
2498,F,Ship,2,1,229,4,low,M,6,3757,Yes
2499,A,Ship,4,5,205,3,low,F,60,2317,Yes
2500,B,Ship,3,4,240,2,low,M,8,3883,Yes
2501,C,Ship,4,3,209,6,low,F,59,2622,Yes
2502,F,Ship,2,1,252,2,low,M,35,2526,Yes
2503,D,Ship,3,4,140,2,medium,M,48,1102,Yes
2504,F,Ship,5,4,156,2,low,F,57,1842,Yes
2505,A,Ship,2,2,190,8,medium,M,33,3448,Yes
2506,B,Ship,3,4,138,6,medium,M,5,1853,Yes
2507,C,Ship,5,4,243,3,low,F,35,2899,Yes
2508,F,Ship,3,1,183,2,low,M,58,3027,Yes
2509,D,Ship,3,5,190,10,medium,M,26,3244,Yes
2510,F,Ship,5,1,235,2,low,M,27,2451,Yes
2511,A,Ship,3,2,143,6,medium,M,63,1953,Yes
2512,B,Ship,3,1,176,2,medium,F,45,1470,Yes
2513,C,Ship,3,5,178,3,low,F,39,1498,Yes
2514,F,Ship,3,2,270,2,medium,F,59,3706,Yes
2515,D,Ship,4,4,141,2,low,M,7,1479,Yes
2516,F,Ship,4,3,220,3,medium,M,8,3342,Yes
2517,A,Ship,5,5,264,3,medium,F,56,3482,Yes
2518,B,Ship,3,5,150,2,low,F,48,1256,Yes
2519,C,Ship,3,4,175,3,medium,M,4,1519,Yes
2520,F,Ship,2,4,223,3,medium,F,19,3356,Yes
2521,D,Ship,4,4,162,10,high,M,12,1583,Yes
2522,F,Ship,6,4,221,10,medium,M,42,2972,Yes
2523,A,Ship,5,1,216,3,low,M,40,2668,Yes
2524,B,Ship,5,5,133,10,medium,M,9,1724,Yes
2525,C,Ship,4,2,191,3,high,M,3,2353,Yes
2526,F,Ship,4,5,156,3,low,M,39,1483,Yes
2527,D,Ship,4,1,252,3,medium,F,30,2669,Yes
2528,F,Ship,3,5,198,3,low,M,2,3417,Yes
2529,A,Ship,2,3,139,8,medium,M,21,1033,Yes
2530,B,Ship,2,1,255,3,low,M,19,1551,Yes
2531,C,Ship,4,1,141,2,low,F,23,1689,Yes
2532,F,Ship,4,1,151,3,high,F,39,1458,Yes
2533,D,Ship,3,5,236,3,low,F,54,3976,Yes
2534,F,Ship,3,4,229,3,medium,F,46,3223,Yes
2535,A,Ship,4,3,261,3,low,F,6,2787,Yes
2536,B,Ship,2,1,229,4,low,F,11,3614,Yes
2537,C,Ship,4,4,205,3,low,F,58,2522,Yes
2538,F,Ship,3,4,240,2,low,F,33,3489,Yes
2539,D,Ship,4,4,209,6,low,M,62,3532,Yes
2540,F,Ship,2,5,252,2,low,F,21,2070,Yes
2541,A,Ship,3,3,140,2,medium,F,30,1547,Yes
2542,B,Ship,5,3,156,2,low,M,1,1147,Yes
2543,C,Ship,2,5,190,8,medium,M,11,2976,Yes
2544,F,Ship,3,3,138,6,medium,M,49,1078,Yes
2545,D,Ship,5,4,243,3,low,F,43,2866,Yes
2546,F,Ship,3,5,183,2,low,F,10,2621,Yes
2547,A,Ship,3,5,190,10,medium,M,32,2931,Yes
2548,B,Ship,5,2,235,2,low,F,61,3451,Yes
2549,C,Ship,3,1,143,6,medium,M,2,1323,Yes
2550,F,Ship,3,3,176,2,medium,M,34,1856,Yes
2551,D,Ship,3,1,178,3,low,F,11,1481,Yes
2552,F,Ship,3,5,270,2,medium,F,46,2716,Yes
2553,A,Ship,4,1,141,2,low,M,10,1340,Yes
2554,B,Ship,4,5,220,3,medium,F,63,3109,Yes
2555,C,Ship,5,5,264,3,medium,F,23,2837,Yes
2556,F,Ship,3,5,150,2,low,M,29,1934,Yes
2557,D,Ship,3,3,175,3,medium,F,32,1848,Yes
2558,F,Ship,2,5,223,3,medium,M,35,3437,Yes
2559,A,Ship,4,3,162,10,high,M,25,1764,Yes
2560,B,Ship,6,3,221,10,medium,F,13,2219,Yes
2561,C,Ship,5,5,216,3,low,F,5,3137,Yes
2562,F,Ship,5,2,133,10,medium,M,53,1674,Yes
2563,D,Ship,4,3,191,3,high,F,45,3714,Yes
2564,F,Ship,4,5,156,3,low,F,33,1836,Yes
2565,A,Ship,4,2,252,3,medium,F,43,3273,Yes
2566,B,Ship,3,2,198,3,low,M,15,3250,Yes
2567,C,Ship,2,4,139,8,medium,F,62,1180,Yes
2568,F,Ship,2,4,255,3,low,F,55,1663,Yes
2569,D,Ship,4,2,141,2,low,F,8,1495,Yes
2570,F,Ship,5,2,263,2,medium,F,63,1254,Yes
2571,A,Ship,3,3,179,3,medium,F,41,1892,Yes
2572,B,Ship,4,5,212,4,low,M,21,1014,Yes
2573,C,Ship,2,1,282,5,low,F,51,1362,Yes
2574,F,Ship,3,5,165,3,medium,M,33,1500,Yes
2575,D,Ship,4,1,189,2,medium,F,63,3474,Yes
2576,F,Ship,5,5,157,4,medium,M,60,1407,Yes
2577,A,Road,3,4,167,3,low,M,14,1420,Yes
2578,B,Road,3,1,175,2,low,M,42,1668,Yes
2579,C,Road,3,4,150,2,medium,M,64,1777,Yes
2580,F,Road,4,2,128,5,low,F,28,1247,Yes
2581,D,Road,5,2,236,2,low,M,24,3679,Yes
2582,F,Road,4,3,162,2,medium,F,58,1708,Yes
2583,A,Road,5,4,230,2,medium,F,48,3743,Yes
2584,B,Road,5,3,225,4,low,F,60,2130,Yes
2585,C,Road,2,2,285,2,medium,F,16,2223,Yes
2586,F,Road,4,5,246,2,medium,M,31,2415,Yes
2587,D,Road,4,4,196,2,low,F,6,2718,Yes
2588,F,Road,5,4,211,6,low,M,33,3955,Yes
2589,A,Road,3,1,197,2,low,M,4,3621,Yes
2590,B,Road,5,3,203,2,low,F,37,3531,Yes
2591,C,Road,4,2,161,3,medium,F,10,1928,Yes
2592,F,Road,5,5,266,4,medium,M,62,2201,Yes
2593,D,Road,4,1,190,3,low,F,32,2774,Yes
2594,F,Road,3,2,140,3,low,F,42,1465,Yes
2595,A,Road,4,1,274,4,medium,M,61,3402,Yes
2596,B,Road,4,2,168,3,low,M,59,1717,Yes
2597,C,Road,3,5,189,3,low,F,61,2203,Yes
2598,F,Road,3,2,231,3,low,F,56,2714,Yes
2599,D,Flight,5,1,189,3,medium,F,14,3318,Yes
2600,F,Flight,4,1,220,2,medium,M,38,2368,Yes
2601,A,Flight,5,4,190,2,medium,F,23,3960,Yes
2602,B,Flight,4,2,238,3,low,M,30,3423,Yes
2603,C,Flight,4,4,220,2,medium,F,33,2897,Yes
2604,F,Flight,4,5,194,2,high,M,44,2651,Yes
2605,D,Flight,3,3,203,3,medium,M,29,3261,Yes
2606,F,Flight,3,5,258,3,low,M,21,3446,Yes
2607,A,Flight,3,5,151,3,low,M,3,1273,Yes
2608,B,Flight,3,2,218,3,medium,F,52,2149,Yes
2609,C,Flight,5,1,265,3,medium,M,6,2452,Yes
2610,F,Flight,4,1,157,3,medium,M,31,1712,Yes
2611,D,Flight,4,2,214,3,medium,F,20,2009,Yes
2612,F,Flight,4,4,221,4,medium,M,14,2932,Yes
2613,A,Flight,3,2,149,2,medium,M,37,1699,Yes
2614,B,Flight,4,2,273,5,medium,F,6,2126,Yes
2615,C,Flight,5,1,253,5,low,M,31,3836,Yes
2616,F,Flight,3,5,102,6,medium,M,3,1341,Yes
2617,D,Flight,4,1,258,2,low,F,56,3186,Yes
2618,F,Flight,4,2,273,2,low,F,9,3383,Yes
2619,A,Flight,4,2,187,2,low,M,54,2191,Yes
2620,B,Flight,5,1,151,2,medium,F,30,1377,Yes
2621,C,Ship,2,4,120,2,medium,M,13,1240,Yes
2622,F,Ship,3,1,254,2,low,M,56,3463,Yes
2623,D,Ship,5,3,149,3,medium,F,43,1005,Yes
2624,F,Ship,4,1,152,3,high,M,26,1464,Yes
2625,A,Ship,5,4,187,3,low,F,53,3172,Yes
2626,B,Ship,4,4,170,2,low,M,34,1512,Yes
2627,C,Ship,3,3,156,3,high,F,20,1305,Yes
2628,F,Ship,4,5,228,2,low,M,63,3401,Yes
2629,D,Ship,3,1,272,2,low,M,51,2719,Yes
2630,F,Ship,3,1,140,2,low,F,6,1435,Yes
2631,A,Ship,3,5,185,2,medium,M,27,3624,Yes
2632,B,Ship,5,3,167,3,low,F,5,1772,Yes
2633,C,Ship,4,5,244,3,low,F,49,3914,Yes
2634,F,Ship,3,4,229,6,medium,F,33,2815,Yes
2635,D,Ship,4,1,273,3,medium,F,25,3717,Yes
2636,F,Ship,4,3,204,3,low,M,30,3774,Yes
2637,A,Ship,4,3,154,3,medium,M,10,1711,Yes
2638,B,Ship,3,1,254,4,low,F,33,2542,Yes
2639,C,Ship,3,2,151,3,low,M,40,1173,Yes
2640,F,Ship,3,5,242,5,medium,F,61,3688,Yes
2641,D,Ship,4,5,137,2,medium,F,14,1796,Yes
2642,F,Ship,4,4,163,2,low,F,41,1634,Yes
2643,A,Ship,3,3,143,3,medium,F,16,1343,Yes
2644,B,Ship,4,4,196,3,low,F,11,3244,Yes
2645,C,Ship,4,3,264,2,low,F,38,3877,Yes
2646,F,Ship,4,1,217,3,medium,M,2,2692,Yes
2647,D,Ship,3,3,124,3,medium,M,59,1959,Yes
2648,F,Ship,3,1,269,3,low,M,61,3542,Yes
2649,A,Ship,3,1,135,4,medium,M,47,1840,Yes
2650,B,Ship,2,1,192,3,high,M,46,3206,Yes
2651,C,Ship,4,1,274,4,medium,F,42,2430,Yes
2652,F,Ship,3,2,162,4,low,M,25,1316,Yes
2653,D,Ship,3,3,158,3,low,F,20,1431,Yes
2654,F,Ship,5,3,225,3,medium,M,59,2270,Yes
2655,A,Ship,2,5,150,3,low,F,16,1738,Yes
2656,B,Ship,6,3,154,5,medium,F,57,1117,Yes
2657,C,Ship,3,1,181,3,medium,M,34,3306,Yes
2658,F,Ship,3,4,272,3,low,M,44,2548,Yes
2659,D,Ship,3,3,160,4,medium,M,58,1496,Yes
2660,F,Ship,5,5,145,3,medium,F,37,1993,Yes
2661,A,Ship,4,4,143,5,high,F,5,1027,Yes
2662,B,Ship,4,1,201,4,medium,M,59,2925,Yes
2663,C,Ship,4,3,242,4,low,M,62,3997,Yes
2664,F,Ship,4,4,151,2,low,F,38,1001,Yes
2665,D,Ship,4,4,199,2,medium,M,25,3705,Yes
2666,F,Ship,4,1,178,3,medium,M,9,1006,Yes
2667,A,Ship,3,2,138,3,low,M,49,1923,Yes
2668,B,Ship,5,3,162,4,medium,M,38,1407,Yes
2669,C,Ship,4,3,154,3,low,M,33,1101,Yes
2670,F,Ship,3,1,206,2,medium,F,56,2069,Yes
2671,D,Ship,5,2,246,2,low,F,4,3617,Yes
2672,F,Ship,4,3,233,2,medium,F,47,3606,Yes
2673,A,Ship,4,1,251,4,medium,F,33,2906,Yes
2674,B,Ship,3,1,165,3,medium,M,61,1313,Yes
2675,C,Ship,4,3,183,2,low,F,32,3709,Yes
2676,F,Ship,3,2,109,3,low,F,30,1597,Yes
2677,D,Ship,5,3,209,4,medium,F,7,2675,Yes
2678,F,Ship,5,2,168,3,low,F,50,1486,Yes
2679,A,Ship,5,3,210,2,low,M,19,3920,Yes
2680,B,Ship,3,1,185,2,low,F,41,3787,Yes
2681,C,Ship,5,2,243,2,medium,M,58,2758,Yes
2682,F,Ship,3,4,258,3,low,F,55,2777,Yes
2683,D,Ship,4,4,279,5,medium,F,56,2697,Yes
2684,F,Ship,3,1,160,3,low,M,57,1833,Yes
2685,A,Ship,3,1,185,4,low,F,35,3648,Yes
2686,B,Ship,4,3,271,4,low,F,24,3499,Yes
2687,C,Ship,4,2,273,2,low,F,31,2229,Yes
2688,F,Ship,3,4,208,3,medium,F,23,2100,Yes
2689,D,Ship,2,2,137,3,low,F,20,1823,Yes
2690,F,Ship,4,1,198,3,medium,F,56,3135,Yes
2691,A,Ship,5,1,236,4,high,F,64,3231,Yes
2692,B,Ship,5,5,133,2,low,F,18,1134,Yes
2693,C,Ship,4,2,191,3,medium,F,12,3676,Yes
2694,F,Ship,3,1,202,3,low,F,51,3551,Yes
2695,D,Ship,5,1,162,5,low,F,47,1727,Yes
2696,F,Ship,5,1,224,2,low,F,14,2959,Yes
2697,A,Ship,4,2,191,2,high,M,65,3082,Yes
2698,B,Ship,3,5,272,2,medium,M,31,2438,Yes
2699,C,Ship,4,3,269,3,low,F,7,2538,Yes
2700,F,Ship,4,2,179,3,high,F,30,1076,Yes
2701,D,Ship,3,5,225,2,low,F,56,2596,Yes
2702,F,Ship,3,2,132,2,medium,M,6,1185,Yes
2703,A,Ship,5,3,244,3,low,F,52,3118,Yes
2704,B,Ship,3,4,185,2,low,F,62,2849,Yes
2705,C,Ship,3,3,257,3,low,M,64,3103,Yes
2706,F,Ship,3,3,253,5,low,F,63,3788,Yes
2707,D,Ship,4,3,174,3,low,F,5,1502,Yes
2708,F,Ship,2,1,200,3,medium,M,34,2199,Yes
2709,A,Ship,3,1,150,3,medium,F,8,1745,Yes
2710,B,Ship,3,2,137,3,medium,F,9,1347,Yes
2711,C,Ship,3,1,181,3,medium,M,29,2981,Yes
2712,F,Ship,5,2,246,2,medium,M,13,2652,Yes
2713,D,Ship,3,3,237,5,low,M,48,2057,Yes
2714,F,Road,3,5,226,3,medium,M,55,2465,Yes
2715,A,Road,4,4,225,3,low,M,51,2892,Yes
2716,B,Road,3,2,268,2,low,M,20,2731,Yes
2717,C,Road,4,3,146,3,low,M,41,1140,Yes
2718,F,Road,4,5,159,3,low,M,2,1048,Yes
2719,D,Road,3,1,135,3,low,F,38,1829,Yes
2720,F,Road,3,2,134,2,medium,F,45,1946,Yes
2721,A,Road,4,3,210,3,low,M,3,2742,Yes
2722,B,Road,4,4,238,3,low,F,13,2042,Yes
2723,C,Road,4,3,214,4,low,M,34,3446,Yes
2724,F,Road,4,2,204,4,low,F,35,2725,Yes
2725,D,Road,4,1,227,3,low,M,5,3100,Yes
2726,F,Road,4,3,253,3,high,F,18,2849,Yes
2727,A,Road,2,3,126,4,high,F,3,1364,Yes
2728,B,Road,4,4,208,2,high,F,20,2759,Yes
2729,C,Road,4,4,179,3,low,M,48,1943,Yes
2730,F,Road,3,1,132,2,medium,M,62,1909,Yes
2731,D,Road,3,4,144,3,low,M,56,1496,Yes
2732,F,Road,3,3,236,2,medium,F,58,3360,Yes
2733,A,Road,4,4,235,3,low,F,17,3715,Yes
2734,B,Road,4,5,254,3,low,M,29,3885,Yes
2735,C,Road,3,2,144,5,medium,M,43,1027,Yes
2736,F,Flight,5,1,272,3,medium,M,27,2415,Yes
2737,D,Flight,3,3,191,4,medium,F,17,3675,Yes
2738,F,Flight,5,3,177,4,medium,M,60,1159,Yes
2739,A,Flight,5,4,226,3,low,F,46,3149,Yes
2740,B,Flight,3,4,132,2,medium,M,12,1493,Yes
2741,C,Flight,3,1,121,5,low,F,60,1577,Yes
2742,F,Flight,4,2,171,3,low,F,40,1021,Yes
2743,D,Flight,3,3,178,3,high,M,12,1900,Yes
2744,F,Flight,4,3,132,4,medium,M,10,1767,Yes
2745,A,Flight,6,4,249,5,medium,M,43,3078,Yes
2746,B,Flight,2,4,159,3,medium,M,47,1547,Yes
2747,C,Flight,5,2,171,3,high,M,34,1029,Yes
2748,F,Flight,3,3,150,3,low,M,6,1775,Yes
2749,D,Flight,4,4,178,3,low,F,1,1165,Yes
2750,F,Flight,3,3,192,7,high,F,25,2152,Yes
2751,A,Flight,3,5,214,8,high,M,50,3628,Yes
2752,B,Flight,5,3,225,7,medium,F,45,3162,Yes
2753,C,Flight,5,4,167,7,medium,F,23,1691,Yes
2754,F,Flight,3,5,245,4,medium,M,4,2769,Yes
2755,D,Flight,4,5,138,7,medium,M,60,1366,Yes
2756,F,Flight,4,4,173,3,medium,F,64,1847,Yes
2757,A,Flight,3,5,98,3,medium,F,48,1635,Yes
2758,B,Ship,3,1,231,2,low,M,44,3688,Yes
2759,C,Ship,5,5,149,7,medium,F,50,1346,Yes
2760,F,Ship,3,1,206,3,medium,M,28,2892,Yes
2761,D,Ship,5,3,264,10,medium,F,34,3441,Yes
2762,F,Ship,3,1,193,2,medium,F,23,2728,Yes
2763,A,Ship,5,1,263,2,medium,F,4,1092,Yes
2764,B,Ship,3,2,191,4,medium,F,16,2277,Yes
2765,C,Ship,5,4,177,4,medium,M,48,1920,Yes
2766,F,Ship,5,5,226,3,low,M,50,2348,Yes
2767,D,Ship,3,1,132,2,medium,F,16,1731,Yes
2768,F,Ship,3,1,121,5,low,M,62,1505,Yes
2769,A,Ship,4,2,171,3,low,M,34,1352,Yes
2770,B,Ship,3,3,178,3,high,M,43,1517,Yes
2771,C,Ship,4,4,132,4,medium,F,44,1692,Yes
2772,F,Ship,6,5,249,5,medium,M,26,3897,Yes
2773,D,Ship,2,3,159,3,medium,F,39,1477,Yes
2774,F,Ship,5,5,171,3,high,M,14,1554,Yes
2775,A,Ship,3,1,150,3,low,F,43,1831,Yes
2776,B,Ship,4,1,178,3,low,M,19,1906,Yes
2777,C,Ship,3,3,192,7,high,F,36,3634,Yes
2778,F,Ship,3,4,214,8,high,F,6,2924,Yes
2779,D,Ship,5,3,225,7,medium,F,17,3516,Yes
2780,F,Ship,5,4,167,7,medium,F,43,1619,Yes
2781,A,Ship,3,2,245,4,medium,M,60,2178,Yes
2782,B,Ship,4,4,138,7,medium,M,65,1530,Yes
2783,C,Ship,4,4,173,3,medium,F,61,1609,Yes
2784,F,Ship,3,2,98,3,medium,F,60,1057,Yes
2785,D,Ship,3,1,231,2,low,M,24,3811,Yes
2786,F,Ship,5,3,149,7,medium,F,51,1425,Yes
2787,A,Ship,3,5,206,3,medium,M,21,3746,Yes
2788,B,Ship,5,4,264,10,medium,F,34,2960,Yes
2789,C,Ship,3,5,193,2,medium,F,12,3730,Yes
2790,F,Ship,5,2,263,2,medium,F,51,1657,Yes
2791,D,Ship,2,5,282,5,low,M,63,1173,Yes
2792,F,Ship,5,4,193,3,low,M,55,2758,Yes
2793,A,Ship,4,4,171,3,medium,F,11,1594,Yes
2794,B,Ship,3,5,212,3,low,F,19,2703,Yes
2795,C,Ship,2,1,159,2,low,F,44,1213,Yes
2796,F,Ship,3,2,102,4,medium,M,57,1220,Yes
2797,D,Ship,3,2,145,2,medium,F,29,1690,Yes
2798,F,Ship,3,1,225,2,high,F,43,2585,Yes
2799,A,Ship,2,1,174,3,medium,F,12,1358,Yes
2800,B,Ship,4,3,223,4,low,F,25,3148,Yes
2801,C,Ship,3,5,185,2,low,F,36,3501,Yes
2802,F,Ship,4,5,245,3,medium,M,6,2717,Yes
2803,D,Ship,3,3,99,3,high,M,63,1223,Yes
2804,F,Ship,3,3,141,4,low,F,35,1417,Yes
2805,A,Ship,4,2,222,2,medium,F,16,2518,Yes
2806,B,Ship,3,2,192,3,medium,F,64,3233,Yes
2807,C,Ship,3,1,187,4,medium,M,42,3621,Yes
2808,F,Ship,4,2,216,2,low,F,26,2431,Yes
2809,D,Ship,3,2,146,4,low,M,13,1790,Yes
2810,F,Ship,3,2,207,2,low,M,20,3419,Yes
2811,A,Ship,4,2,225,2,low,F,6,2010,Yes
2812,B,Ship,3,4,230,2,medium,F,15,2302,Yes
2813,C,Ship,3,2,173,3,medium,F,37,1990,Yes
2814,F,Ship,4,4,127,4,high,M,54,1239,Yes
2815,D,Ship,3,3,214,2,low,M,28,3869,Yes
2816,F,Ship,4,1,161,3,low,M,59,1454,Yes
2817,A,Ship,4,2,262,2,low,F,37,3523,Yes
2818,B,Ship,5,2,157,3,low,M,1,1798,Yes
2819,C,Ship,3,1,164,3,medium,F,9,1803,Yes
2820,F,Ship,4,4,174,2,low,F,11,1577,Yes
2821,D,Ship,2,2,188,4,medium,M,39,2424,Yes
2822,F,Ship,3,1,141,2,low,F,4,1297,Yes
2823,A,Ship,5,5,134,2,medium,M,64,1785,Yes
2824,B,Ship,2,4,147,2,medium,F,65,1738,Yes
2825,C,Ship,4,1,180,3,medium,M,27,1551,Yes
2826,F,Ship,3,3,225,2,medium,M,55,2259,Yes
2827,D,Ship,2,3,172,3,medium,F,11,1522,Yes
2828,F,Ship,6,2,131,5,medium,F,5,1718,Yes
2829,A,Ship,3,1,270,4,low,M,47,3487,Yes
2830,B,Ship,3,4,172,3,low,M,56,1103,Yes
2831,C,Ship,4,5,198,3,medium,M,33,2129,Yes
2832,F,Ship,4,2,167,3,low,M,21,1637,Yes
2833,D,Ship,2,2,168,5,medium,F,1,1885,Yes
2834,F,Ship,4,1,165,4,medium,F,34,1831,Yes
2835,A,Ship,4,5,149,6,medium,M,40,1974,Yes
2836,B,Ship,3,3,186,3,low,M,24,3262,Yes
2837,C,Ship,4,1,151,2,low,F,47,1682,Yes
2838,F,Ship,3,5,146,3,medium,F,30,1569,Yes
2839,D,Ship,4,5,232,2,low,M,54,2526,Yes
2840,F,Ship,4,1,177,2,low,F,22,1698,Yes
2841,A,Ship,4,4,149,2,medium,F,19,1665,Yes
2842,B,Ship,4,2,180,3,low,M,3,1518,Yes
2843,C,Ship,5,5,172,2,medium,F,40,1446,Yes
2844,F,Ship,5,2,160,3,medium,M,44,1054,Yes
2845,D,Ship,3,2,206,2,medium,F,28,2822,Yes
2846,F,Ship,4,5,146,3,low,F,9,1685,Yes
2847,A,Ship,2,1,257,2,low,F,24,2130,Yes
2848,B,Ship,5,5,219,3,medium,M,27,3430,Yes
2849,C,Ship,4,2,274,2,medium,M,55,3416,Yes
2850,F,Ship,2,2,177,5,low,M,36,1249,Yes
2851,D,Road,4,3,209,2,medium,M,57,3741,Yes
2852,F,Road,4,1,207,2,low,M,2,3242,Yes
2853,A,Road,4,4,153,3,low,F,27,1613,Yes
2854,B,Road,4,4,158,3,low,F,61,1507,Yes
2855,C,Road,3,4,261,2,medium,F,52,3340,Yes
2856,F,Road,4,1,182,6,low,M,41,2047,Yes
2857,D,Road,2,3,128,2,medium,F,53,1530,Yes
2858,F,Road,2,1,178,3,low,M,6,1184,Yes
2859,A,Road,2,4,198,3,low,M,37,2555,Yes
2860,B,Road,4,3,137,3,medium,M,46,1299,Yes
2861,C,Road,4,1,168,2,low,F,41,1515,Yes
2862,F,Road,3,3,248,4,low,F,36,3276,Yes
2863,D,Road,5,2,225,3,medium,F,29,2411,Yes
2864,F,Road,5,4,239,2,low,M,35,2107,Yes
2865,A,Road,5,4,256,3,low,F,43,3658,Yes
2866,B,Road,5,1,109,2,high,M,23,1479,Yes
2867,C,Road,3,3,274,2,medium,F,59,3436,Yes
2868,F,Road,5,4,157,4,low,F,65,1951,Yes
2869,D,Road,3,2,125,3,medium,F,12,1212,Yes
2870,F,Road,4,5,203,2,low,F,20,2421,Yes
2871,A,Road,3,3,120,3,low,F,55,1534,Yes
2872,B,Road,3,5,194,4,medium,F,21,2695,Yes
2873,C,Flight,4,2,257,4,high,M,58,2269,Yes
2874,F,Flight,4,4,233,2,medium,M,39,2291,Yes
2875,D,Flight,5,2,193,2,low,F,1,2775,Yes
2876,F,Flight,5,3,202,6,low,F,34,2936,Yes
2877,A,Flight,4,5,270,3,low,M,30,2720,Yes
2878,B,Flight,5,5,240,3,medium,F,12,2723,Yes
2879,C,Flight,3,2,224,3,medium,M,63,2085,Yes
2880,F,Flight,4,1,195,2,medium,M,19,2878,Yes
2881,D,Flight,3,2,165,3,medium,M,47,1639,Yes
2882,F,Flight,4,1,164,2,medium,F,3,1124,Yes
2883,A,Flight,3,1,105,3,low,M,58,1304,Yes
2884,B,Flight,3,1,248,3,low,M,9,2616,Yes
2885,C,Flight,4,3,269,6,medium,M,62,3950,Yes
2886,F,Flight,4,1,253,3,low,M,36,2591,Yes
2887,D,Flight,3,1,231,4,medium,F,60,3755,Yes
